BodyID	JointID	Confidance	X	Y	Z	Qw	Qx	Qy	Qz	X2DColor	Y2DColor	X2DDepth	Y2DDepth
1	0	0.666667	-25.529602	-65.160248	1762.346069	0.633479	-0.343892	0.582886	-0.375081	993.498474	845.339966	316.241943	318.847748
1	1	0.666667	-18.721258	-223.335663	1678.603149	0.646970	-0.322011	0.595254	-0.351299	995.862183	753.342224	317.948669	270.891632
1	2	0.666667	-12.346672	-343.317108	1600.718506	0.614101	-0.354800	0.610949	-0.351766	998.202576	676.741821	319.704773	231.157364
1	3	0.666667	-11.036448	-532.444458	1492.394165	0.640332	-0.304663	0.637434	-0.301386	996.934570	544.979858	319.955841	165.150314
1	4	0.666667	22.584074	-501.776886	1511.115845	0.890952	-0.445448	-0.087614	0.010253	1018.234802	567.682434	330.780579	176.243881
1	5	0.666667	163.863571	-487.953156	1532.210083	0.740334	-0.178780	-0.424757	0.489413	1105.143188	579.886353	375.397003	182.957245
1	6	0.666667	208.283157	-244.780060	1658.141968	0.305878	-0.395840	-0.235990	0.833101	1126.173950	739.122498	385.937836	264.083221
1	7	0.666667	91.977119	-82.606720	1538.183960	-0.317455	0.118108	0.833324	-0.436857	1062.525146	828.771423	353.545837	310.477661
1	8	0.666667	14.349662	-35.325169	1571.102295	-0.236605	0.261296	0.800064	-0.485428	1014.193787	859.151611	328.120819	326.131348
1	9	0.666667	-67.170044	34.948616	1584.653076	-0.236605	0.261296	0.800064	-0.485428	964.271118	902.932190	302.216309	348.533447
1	10	0.666667	-35.092236	-54.597897	1515.415039	0.187158	-0.230484	-0.310085	0.903159	982.257385	846.096558	311.882812	319.324738
1	11	0.666667	-44.976067	-501.659271	1511.298950	0.445001	0.889712	-0.019164	-0.100100	976.183594	567.838318	309.084442	176.330627
1	12	0.666667	-174.259460	-485.395111	1532.563599	0.210058	0.748325	-0.425872	-0.463161	897.187866	581.790833	268.384583	183.821091
1	13	0.666667	-233.120743	-250.220596	1677.935791	-0.397305	-0.473712	0.718996	0.317476	873.450989	738.427979	254.586594	263.434021
1	14	0.666667	-177.593353	-30.116051	1614.145264	0.547518	-0.184339	-0.729518	-0.366123	899.117798	863.488708	268.402344	328.094330
1	15	0.666667	-144.298737	-25.055908	1515.656738	0.046469	-0.542125	0.521803	0.657010	912.278564	865.387268	275.776459	329.151062
1	16	0.666667	-100.807518	28.758984	1596.784546	0.046469	-0.542125	0.521803	0.657010	944.224609	899.083130	291.809296	346.493896
1	17	0.666667	-96.616585	-28.416733	1508.005615	0.574477	0.231189	-0.771174	0.147711	942.454834	862.956299	291.339996	327.975372
1	18	0.666667	65.686455	-65.303185	1770.031982	0.506960	-0.451255	0.467534	-0.566368	1043.405273	845.243225	342.180359	318.895172
1	19	0.666667	97.324799	335.076599	1755.116455	0.714180	-0.177425	0.625092	-0.260244	1062.818726	1073.413574	351.061340	432.261292
1	20	0.333333	65.418999	563.052063	2062.589355	0.722052	-0.156156	0.618905	-0.266859	1042.314697	1160.467651	339.092987	471.449097
1	21	0.333333	83.960159	750.005554	2071.326416	0.703396	0.327248	0.545159	0.317717	1051.942139	1257.524902	343.066925	512.031128
1	22	0.666667	-107.783134	-65.031349	1755.415283	0.485846	0.458414	0.577033	0.469940	948.051941	845.467102	292.687836	318.833740
1	23	0.666667	-150.990036	330.690399	1703.286743	0.234006	0.663360	0.321007	0.634153	918.238464	1077.649292	279.595764	433.677368
1	24	0.333333	-155.022995	611.188721	1971.531128	0.243312	0.658536	0.304958	0.643530	929.265015	1201.180786	285.260803	488.339233
1	25	0.333333	-169.324661	781.576782	1944.972412	-0.281924	0.685964	-0.245566	0.624235	918.968750	1302.754883	282.018890	529.076233
1	26	0.666667	-10.569854	-595.949158	1440.508545	0.617793	-0.245803	0.746781	-0.015203	996.161621	492.806641	320.030609	140.303589
1	27	0.666667	-74.525681	-483.139435	1344.553101	0.617793	-0.245803	0.746781	-0.015203	949.580688	542.557373	296.803680	164.173920
1	28	0.666667	-41.829124	-521.868835	1320.294678	0.447596	0.354245	0.701863	0.426095	971.482788	509.621429	308.368500	148.296890
1	29	0.666667	55.115013	-595.022339	1358.344482	0.015203	0.746781	0.245803	0.617793	1039.622803	470.498840	342.730225	130.086014
1	30	0.666667	-90.904266	-531.700867	1336.107056	0.447596	0.354245	0.701863	0.426095	937.643494	507.129364	291.030975	147.344513
1	31	0.666667	-97.382919	-644.385376	1403.646606	0.617793	-0.245803	0.746781	-0.015203	937.540649	451.353241	290.902039	121.530670
