BodyID	JointID	Confidance	X	Y	Z	Qw	Qx	Qy	Qz	X2DColor	Y2DColor	X2DDepth	Y2DDepth
1	0	0.666667	51.922665	143.821335	1995.790283	0.751096	-0.240390	0.433418	-0.436138	1030.965332	936.122559	335.405792	372.785400
1	1	0.666667	93.088196	-7.298708	1921.103271	0.740822	-0.250337	0.427750	-0.453370	1051.839722	861.214722	346.709656	334.656708
1	2	0.666667	124.016441	-130.195526	1864.678101	0.835132	-0.071459	0.330452	-0.433877	1068.370850	797.099731	355.713745	301.518066
1	3	0.666667	208.938812	-293.755157	1761.595093	0.867237	-0.044729	0.335118	-0.365507	1116.693115	704.177917	381.226105	253.753326
1	4	0.666667	214.455841	-273.064148	1804.188477	0.835372	-0.358630	-0.390603	-0.144801	1117.517456	718.844971	381.447571	261.284882
1	5	0.666667	305.238068	-267.747528	1909.365967	0.579876	-0.377842	-0.566994	0.446652	1158.110474	729.311279	401.624786	267.003174
1	6	0.666667	293.960480	-13.356238	1995.387085	0.382645	-0.555085	-0.395128	0.623969	1148.685181	858.227905	395.968811	333.222473
1	7	0.666667	273.448486	193.322159	1907.334717	0.549803	-0.269907	0.726942	0.310519	1145.988159	965.187988	393.779510	387.089722
1	8	0.666667	247.407257	196.773651	1817.436890	0.518512	-0.201070	0.748910	0.360348	1138.129517	972.052185	390.185791	390.545471
1	9	0.333333	207.319916	204.395645	1720.585327	0.518512	-0.201070	0.748910	0.360348	1121.860107	982.552795	382.424347	395.823914
1	10	0.333333	241.008438	228.832306	1786.899658	0.439252	0.154438	0.877518	-0.114756	1136.944824	991.994873	389.464966	400.321533
1	11	0.666667	174.037079	-261.659058	1753.983398	0.226264	0.829122	-0.426592	0.281744	1098.163452	720.964844	371.759277	262.244110
1	12	0.666667	112.987953	-187.484085	1669.530884	-0.090506	-0.630599	0.767461	-0.071807	1067.232788	756.202148	356.210968	280.343475
1	13	0.666667	164.558136	74.034187	1606.683716	-0.074457	-0.465766	0.877334	-0.088339	1101.725464	909.826416	373.682251	359.674774
1	14	0.666667	291.352661	257.727753	1558.039307	-0.361723	-0.074936	0.058195	0.927445	1186.916870	1029.852417	414.574402	418.181213
1	15	0.666667	360.810333	330.750397	1561.581543	-0.315575	-0.077713	0.054431	0.944145	1232.494019	1077.897949	435.010986	439.881073
1	16	0.666667	442.290161	393.182434	1573.191772	-0.315575	-0.077713	0.054431	0.944145	1284.746948	1118.120605	457.611267	456.853180
1	17	0.666667	375.730957	341.330658	1534.955444	-0.340767	-0.400417	0.522887	0.670919	1246.329956	1088.935913	441.290985	444.658447
1	18	0.666667	128.260361	142.318283	2040.906860	0.540471	-0.253978	0.317370	-0.736656	1067.411133	933.731628	353.880585	371.580322
1	19	0.333333	239.922791	515.144104	2028.785522	0.804684	-0.092928	0.395718	-0.432730	1124.833008	1122.054199	380.366882	461.200348
1	20	0.333333	123.707321	801.668030	2235.846924	0.815883	-0.060052	0.377940	-0.433463	1063.975586	1234.172852	349.036621	509.657471
1	21	0.333333	182.685669	974.069763	2236.249268	0.886033	0.225310	0.305444	0.266242	1091.976440	1318.913452	360.998871	542.781860
1	22	0.666667	-16.914398	145.176712	1955.106567	0.545174	0.420798	0.299280	0.660413	996.642517	938.417175	317.985565	373.890991
1	23	0.666667	-36.918060	523.225708	2044.365356	0.288545	0.497475	0.138501	0.806274	987.847961	1124.518433	313.434937	462.699402
1	24	0.333333	-164.214890	750.012756	2315.968750	0.303616	0.472182	0.076003	0.824066	935.806091	1197.446411	287.879303	493.957397
1	25	0.333333	-144.098190	915.501770	2333.664795	-0.366416	0.393424	-0.276380	0.796600	944.636230	1271.842163	292.766052	524.450500
1	26	0.666667	249.315857	-346.505981	1718.011841	0.812464	0.027134	0.565240	-0.140248	1141.326416	670.900757	393.927155	237.046997
1	27	0.666667	299.161957	-213.450867	1652.908203	0.812464	0.027134	0.565240	-0.140248	1176.121704	739.648865	411.981262	272.593506
1	28	0.666667	322.455719	-259.635193	1635.933594	0.673669	0.418872	0.380498	0.475328	1191.044678	711.347717	419.504333	258.314209
1	29	0.666667	342.734039	-370.791199	1685.294312	0.140248	0.565240	-0.027134	0.812464	1196.730103	653.166016	421.770599	228.971649
1	30	0.666667	275.706665	-245.382462	1621.884644	0.673669	0.418872	0.380498	0.475328	1164.802856	718.540039	406.468506	261.673462
1	31	0.666667	193.127335	-341.896606	1632.144897	0.812464	0.027134	0.565240	-0.140248	1114.609985	663.637329	380.782227	233.075989
